collection,token_name,token_address,token_id,sale_timestamp,sale_amount,sale_token,sale_hash,payout_timestamp,payout_amount,payout_token,payout_hash,sale_div_payment,fee
known-origin,Pᔕychedelic Spam Fries,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,905003,2021-09-29 01:41:22,0.085,ETH,0xdb6a0c89d4dfe41a09e999ba5cfc2ad9f17d57e9cac8b503c8ba8b61d84004a5,2021-10-06 10:29:57.964130,0.010625,ETH,0x3509711b90afa98aa163c21b6c8b28d1f49a773ef34c0a68b5bd87ce0af46372,0.125,1250
known-origin,The Freudian Slip of a Personality,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,960008,2021-09-29 02:09:51,0.0325,ETH,0x66b070d614074c319946d8c34ba8967237421b257e446019f9b12cf210d0b0fa,2021-10-06 10:29:57.964130,0.0040625,ETH,0x3509711b90afa98aa163c21b6c8b28d1f49a773ef34c0a68b5bd87ce0af46372,0.125,1250
known-origin,Eternity in an Hour,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,2364006,2021-09-29 02:16:42,0.0325,ETH,0xa3c152b9c19735b3b3fc98fa5132276b3e906f6ee347fe4b4c04c612e1c0b8fd,2021-10-06 10:29:57.964130,0.0040625,ETH,0x3509711b90afa98aa163c21b6c8b28d1f49a773ef34c0a68b5bd87ce0af46372,0.125,1250
known-origin,Idea Birdie,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1048000,2021-09-29 14:14:11,0.0219,ETH,0x1597380dad3647c89089fec26fefd3b16c879ea1474e33e6091db0f64be2b32d,2021-10-06 10:29:57.964130,0.0027375,ETH,0x3509711b90afa98aa163c21b6c8b28d1f49a773ef34c0a68b5bd87ce0af46372,0.125,1250
known-origin,Balance,0xfbeef911dc5821886e1dda71586d90ed28174b7d,657512,2021-09-29 14:47:50,0.05,ETH,0x48a0966eac251d861b067cf6e0ad260d7df3997aca65dfdd3cc37f114125cdf4,2021-10-06 10:29:57.964130,0.00125,ETH,0x3509711b90afa98aa163c21b6c8b28d1f49a773ef34c0a68b5bd87ce0af46372,0.025,250
known-origin,Idea Birdie,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1048009,2021-09-29 14:50:36,0.0225,ETH,0x8b35e1269a0b92c136e340b857ee182157fec914961d5cf273e69243497b1ff2,2021-10-06 10:29:57.964130,0.0028125,ETH,0x3509711b90afa98aa163c21b6c8b28d1f49a773ef34c0a68b5bd87ce0af46372,0.125,1250
known-origin,Balance,0xfbeef911dc5821886e1dda71586d90ed28174b7d,657508,2021-09-29 16:46:20,0.06,ETH,0x86df336cb655eff9ac3723accf40b582fd6c9af4e24d4eb0f43bf773fa545f60,2021-10-06 10:29:57.964130,0.0015,ETH,0x3509711b90afa98aa163c21b6c8b28d1f49a773ef34c0a68b5bd87ce0af46372,0.025,250
known-origin,Red,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1047016,2021-09-29 22:45:20,0.1,ETH,0x867c3480ebfaddbab142f382dfde796637bd0d104ba7d26edfdd642cea17946a,2021-10-06 10:29:57.964130,0.0025,ETH,0x3509711b90afa98aa163c21b6c8b28d1f49a773ef34c0a68b5bd87ce0af46372,0.025,250
known-origin,Balance,0xfbeef911dc5821886e1dda71586d90ed28174b7d,657518,2021-09-29 23:04:47,0.06,ETH,0x38fe7d0f30087714d058406567e00ed801f31abb0bfb26a5aa3920762e6c8602,2021-10-06 10:29:57.964130,0.0015,ETH,0x3509711b90afa98aa163c21b6c8b28d1f49a773ef34c0a68b5bd87ce0af46372,0.025,250
known-origin,The Funky One,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1024000,2021-09-29 23:32:46,0.01,ETH,0x8b58f87fdceb054468e4ba41cdc82bce8ea5a0ef4cdf01147440fd59d722a62f,2021-10-06 10:29:57.964130,0.00125,ETH,0x3509711b90afa98aa163c21b6c8b28d1f49a773ef34c0a68b5bd87ce0af46372,0.125,1250
known-origin,The Doomed,0xfbeef911dc5821886e1dda71586d90ed28174b7d,22059,2021-09-30 04:03:33,18.0,ETH,0xc3857196dde4ddb1d7d19c55e7f49572d1083c3ffcf511f571eccbea0895c28f,2021-10-06 10:29:57.964130,2.25,ETH,0x3509711b90afa98aa163c21b6c8b28d1f49a773ef34c0a68b5bd87ce0af46372,0.125,1250
known-origin,Ebb & Flow,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1588008,2021-09-30 05:21:44,0.06,ETH,0xc6c2a60d0e312afb46efee20b0ffb66d2e773ca3e37cd2a5e9b2cddfad2d5e8a,2021-10-06 10:29:57.964130,0.0075,ETH,0x3509711b90afa98aa163c21b6c8b28d1f49a773ef34c0a68b5bd87ce0af46372,0.125,1250
known-origin,HEART,0xfbeef911dc5821886e1dda71586d90ed28174b7d,36404,2021-09-30 13:07:51,0.09,ETH,0x2f718ff8c664822b0213af28c4e19a57bb176a534146d869d8235dc2a029a29d,2021-10-06 10:29:57.964130,0.00225,ETH,0x3509711b90afa98aa163c21b6c8b28d1f49a773ef34c0a68b5bd87ce0af46372,0.025,250
known-origin,A sunset looped into eternity,0xfbeef911dc5821886e1dda71586d90ed28174b7d,613701,2021-09-30 22:37:35,0.09,ETH,0xde4279078667d8e02f0ad0948b287d7a996da21e1f10562d0c6a9c59400230e4,2021-10-06 10:29:57.964130,0.00225,ETH,0x3509711b90afa98aa163c21b6c8b28d1f49a773ef34c0a68b5bd87ce0af46372,0.025,250
known-origin,Just as Big as Her Heart,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,2477009,2021-10-01 03:48:29,0.0525,ETH,0x3e1b0834e30f6321a3a3b9edcaa08e263520943f1a704262180e9c99b98ea014,2021-10-06 10:29:57.964130,0.0065625,ETH,0x3509711b90afa98aa163c21b6c8b28d1f49a773ef34c0a68b5bd87ce0af46372,0.125,1250
known-origin,Solace,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1110002,2021-10-01 04:03:07,0.02,ETH,0xa7e41c027654710f5f66637411ef693e5e79bae8a77b0b56fa8ea73adbfb1400,2021-10-06 10:29:57.964130,0.0005,ETH,0x3509711b90afa98aa163c21b6c8b28d1f49a773ef34c0a68b5bd87ce0af46372,0.025,250
known-origin,Hello! I Have Just Arrived Here..,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1131004,2021-10-01 04:52:42,0.0224,ETH,0xf1418762873f158b21b3d0a4ab666dd65a9babcf072187a67f7eb46a8b8a9167,2021-10-06 10:29:57.964130,0.0028,ETH,0x3509711b90afa98aa163c21b6c8b28d1f49a773ef34c0a68b5bd87ce0af46372,0.125,1250
known-origin,hello admin dm me,0xfbeef911dc5821886e1dda71586d90ed28174b7d,88504,2021-10-01 05:00:09,30.0,WETH,0x425d6d4a04979d73907937a7d2b005ef3afdcee8ab78e334396c0794f4321124,2021-10-06 10:29:57.964130,3.75,WETH,0x3509711b90afa98aa163c21b6c8b28d1f49a773ef34c0a68b5bd87ce0af46372,0.125,1250
